review_id,user_id,item_id,rating,sentiment_score,review_text
1,10616,479305,4,0.74,real_behavior_review_user_10616_item_479305
2,22838,201513,5,0.88,real_behavior_review_user_22838_item_201513
3,22838,498447,5,0.84,real_behavior_review_user_22838_item_498447
4,22838,485354,5,0.92,real_behavior_review_user_22838_item_485354
5,22838,1055649,5,0.92,real_behavior_review_user_22838_item_1055649
6,22838,704657,4,0.78,real_behavior_review_user_22838_item_704657
7,27365,1175108,4,0.78,real_behavior_review_user_27365_item_1175108
8,27365,32299,4,0.7,real_behavior_review_user_27365_item_32299
9,27365,744040,4,0.74,real_behavior_review_user_27365_item_744040
10,35350,1174901,5,0.84,real_behavior_review_user_35350_item_1174901
11,37757,1385912,5,0.84,real_behavior_review_user_37757_item_1385912
12,37757,1076231,5,0.88,real_behavior_review_user_37757_item_1076231
13,37757,1369983,5,0.88,real_behavior_review_user_37757_item_1369983
14,37757,781877,5,0.92,real_behavior_review_user_37757_item_781877
15,37757,353595,5,0.88,real_behavior_review_user_37757_item_353595
16,37757,947183,5,0.84,real_behavior_review_user_37757_item_947183
17,38094,1202783,5,0.88,real_behavior_review_user_38094_item_1202783
18,38094,1326077,5,0.84,real_behavior_review_user_38094_item_1326077
19,38094,1010916,5,0.88,real_behavior_review_user_38094_item_1010916
20,38094,888629,5,0.88,real_behavior_review_user_38094_item_888629
21,38094,871786,5,0.84,real_behavior_review_user_38094_item_871786
22,38094,1051818,5,0.88,real_behavior_review_user_38094_item_1051818
23,38094,1092368,5,0.88,real_behavior_review_user_38094_item_1092368
24,38094,3091,5,0.84,real_behavior_review_user_38094_item_3091
25,38094,307959,5,0.88,real_behavior_review_user_38094_item_307959
26,38094,3536,5,0.92,real_behavior_review_user_38094_item_3536
27,38094,62943,5,0.84,real_behavior_review_user_38094_item_62943
28,38094,1411503,5,0.88,real_behavior_review_user_38094_item_1411503
29,38094,5729,5,0.92,real_behavior_review_user_38094_item_5729
30,52371,723392,5,0.92,real_behavior_review_user_52371_item_723392
31,52371,776184,5,0.92,real_behavior_review_user_52371_item_776184
32,71619,73993,5,0.84,real_behavior_review_user_71619_item_73993
33,71619,150750,5,0.92,real_behavior_review_user_71619_item_150750
34,71619,787349,5,0.92,real_behavior_review_user_71619_item_787349
35,71619,893739,5,0.92,real_behavior_review_user_71619_item_893739
36,92243,1088713,4,0.74,real_behavior_review_user_92243_item_1088713
37,92243,504309,4,0.7,real_behavior_review_user_92243_item_504309
38,92243,279124,4,0.7,real_behavior_review_user_92243_item_279124
39,92243,188889,4,0.74,real_behavior_review_user_92243_item_188889
40,92243,729671,4,0.78,real_behavior_review_user_92243_item_729671
41,109336,533112,5,0.84,real_behavior_review_user_109336_item_533112
42,109336,427240,5,0.84,real_behavior_review_user_109336_item_427240
43,109336,270689,5,0.92,real_behavior_review_user_109336_item_270689
44,109336,106766,5,0.84,real_behavior_review_user_109336_item_106766
45,122901,674079,4,0.7,real_behavior_review_user_122901_item_674079
46,122901,1225545,4,0.74,real_behavior_review_user_122901_item_1225545
47,122901,104074,4,0.74,real_behavior_review_user_122901_item_104074
48,122901,1311207,4,0.74,real_behavior_review_user_122901_item_1311207
49,122901,228568,4,0.7,real_behavior_review_user_122901_item_228568
